sheet_name,row_count,method,forecast_mean,processing_time,models_used,best_model
MSS 0005 001,303,ML,848.720411653439,2.752233,"['rf', 'et', 'gb', 'xgb', 'cat']",ET(MAE:133.51)
MSS 0005 004,96,Simple,137.91301116385262,1.228907,['simple'],
MSS 0005 421,44,Simple,1022.8417450756165,1.21782,['simple'],
MSS 0005 428,49,Simple,730.7235499419183,1.139813,['simple'],
MSS 0005 451,32,Simple,110.32297774090989,1.208603,['simple'],
MSS 0005 455,353,ML,346.10338172619055,2.52074,"['rf', 'et', 'gb', 'xgb', 'cat']",RF(MAE:35.51)
MSS 0005 612,45,Simple,101.53974500106209,1.239009,['simple'],
MSS 0005 905,112,ML,125.60996146329364,2.560274,"['rf', 'et', 'gb', 'xgb', 'cat']",XGB(MAE:61.44)
MSS 0005 909,39,Simple,131.54136650638537,1.149839,['simple'],
MSS 0005 927,129,ML,199.0050369593254,2.538927,"['rf', 'et', 'gb', 'xgb', 'cat']",GB(MAE:23.30)
RCFPPH 1100 002,108,ML,202.97026336474872,2.637362,"['rf', 'et', 'gb', 'xgb', 'cat']",RF(MAE:0.02)
RCFPPH 1100 013,270,ML,815.6275168998017,2.511447,"['rf', 'et', 'gb', 'xgb', 'cat']",ET(MAE:138.62)
RCFPPH 1100 099,950,ML,2386.2746494642856,2.649842,"['rf', 'et', 'gb', 'xgb', 'cat']",GB(MAE:1001.38)
RCFPPH 1100 130,119,ML,145.4351960367065,2.469858,"['rf', 'et', 'gb', 'xgb', 'cat']",RF(MAE:7.21)
RCFPPH 1100 141,389,ML,1204.101838546628,2.565919,"['rf', 'et', 'gb', 'xgb', 'cat']",GB(MAE:187.44)
RCFPPH 1100 424,188,ML,366.44089078538354,2.514097,"['rf', 'et', 'gb', 'xgb', 'cat']",XGB(MAE:57.27)
RCFPPH 1100 218,225,ML,304.144211934524,2.444181,"['rf', 'et', 'gb', 'xgb', 'cat']",XGB(MAE:60.06)
RCFPPH 1100 231,135,ML,344.1367672222222,2.540388,"['rf', 'et', 'gb', 'xgb', 'cat']",ET(MAE:56.38)
RCFPPH 1100 319,88,Simple,53.830765831805444,1.221834,['simple'],
RCFPPH 1100 326,301,ML,589.0723558779761,2.530809,"['rf', 'et', 'gb', 'xgb', 'cat']",XGB(MAE:72.24)
RCFPPH 1100 420,205,ML,569.7676687103173,2.411829,"['rf', 'et', 'gb', 'xgb', 'cat']",GB(MAE:50.66)
RCFPPH 1100 440,349,ML,1094.8551155961284,2.490987,"['rf', 'et', 'gb', 'xgb', 'cat']",XGB(MAE:127.06)
RCFPPH 1100 445,48,Simple,274.5801831460529,1.248913,['simple'],
RCFPPH 1100 504,545,ML,1273.6760443402784,2.588098,"['rf', 'et', 'gb', 'xgb', 'cat']",GB(MAE:395.56)
RCFPPH 1100 510,112,ML,224.1780598511904,2.42242,"['rf', 'et', 'gb', 'xgb', 'cat']",XGB(MAE:17.02)
RCFPPH 1100 518,481,ML,1359.5629618253968,2.512883,"['rf', 'et', 'gb', 'xgb', 'cat']",GB(MAE:1078.63)
RCFPPH 1100 607,148,ML,306.1801934424602,2.4883,"['rf', 'et', 'gb', 'xgb', 'cat']",GB(MAE:35.72)
RCFPPH 1100 634,77,Simple,241.52815081176746,1.235206,['simple'],
RCFPPH 1100 635,44,Simple,382.20275047784435,1.247803,['simple'],
RCFPPH 1100 641,206,ML,293.87581076659467,2.498455,"['rf', 'et', 'gb', 'xgb', 'cat']",CAT(MAE:74.17)
RCFPPH 1100 656,254,ML,665.1360358812831,2.525873,"['rf', 'et', 'gb', 'xgb', 'cat']",CAT(MAE:51.99)
RCFPPH 1100 906,171,ML,122.16423531746034,2.479189,"['rf', 'et', 'gb', 'xgb', 'cat']",GB(MAE:130.00)
RCFPPH 1100 907,417,ML,763.8684383283729,2.519958,"['rf', 'et', 'gb', 'xgb', 'cat']",ET(MAE:243.78)
RCFPPH 1100 912,279,ML,731.0184761855161,2.509002,"['rf', 'et', 'gb', 'xgb', 'cat']",RF(MAE:132.57)
RCFPPH 1100 916,112,ML,262.5987819080687,2.515871,"['rf', 'et', 'gb', 'xgb', 'cat']",ET(MAE:4.37)
RCFPPH 1100 924,492,ML,1216.7579696924604,2.466443,"['rf', 'et', 'gb', 'xgb', 'cat']",ET(MAE:277.02)
RCFPPH 1100 929,38,Simple,827.7013117459627,1.242021,['simple'],
