iter	RMSE
0	714.5331688
1	677.8209266
2	639.5280355
3	615.1569782
4	587.5558369
5	555.4131615
6	526.606121
7	507.6008675
8	485.4502906
9	465.2527015
10	446.7632196
11	429.9061115
12	414.0927758
13	395.1221955
14	379.8193413
15	363.935188
16	348.9115638
17	334.5970841
18	319.8542174
19	309.7147865
20	298.2303377
21	289.2167268
22	281.0416657
23	271.8235783
24	260.823525
25	249.2872885
26	240.8348786
27	229.8628624
28	221.9560806
29	214.3452107
30	203.0699527
31	196.4857432
32	188.2004415
33	182.654438
34	175.9089272
35	168.9316758
36	163.342571
37	155.6638899
38	150.137324
39	145.1716165
40	140.1746953
41	134.8315354
42	130.657772
43	125.8077492
44	122.0360241
45	117.7918194
46	113.6772282
47	109.2309908
48	105.5089936
49	101.6771052
50	99.24612922
51	95.54039624
52	92.90641472
53	90.68248032
54	87.55265484
55	84.52240302
56	83.00738112
57	80.60715875
58	77.74482415
59	74.78631396
60	72.01485269
61	69.59485427
62	67.43438294
63	65.31669145
64	62.71954716
65	60.80478523
66	59.42289795
67	57.25205352
68	55.27275124
69	53.64752642
70	51.98278501
71	51.14883689
72	50.28620856
73	49.53625725
74	47.70301038
75	47.06146301
76	45.36027898
77	44.62377131
78	43.91637712
79	43.30448041
80	42.72326079
81	42.08626335
82	41.53860315
83	40.16678112
84	38.77793187
85	38.23127543
86	36.94565445
87	36.48684585
88	35.97890935
89	34.73103676
90	34.3184526
91	33.09411324
92	32.69679475
93	32.26815533
94	31.1848163
95	30.82417334
96	29.81855382
97	28.82126395
98	28.49448672
99	28.17894143
100	27.21989045
101	26.92362842
102	25.95575174
103	25.14121187
104	24.85250903
105	24.55594073
106	23.80474557
107	23.50203666
108	23.26339828
109	22.48248404
110	21.77376908
111	21.11319156
112	20.46721065
113	20.21776625
114	19.61921753
115	19.38573565
116	18.83155923
117	18.61236166
118	18.4026167
119	17.8286605
120	17.63175032
121	17.17623883
122	16.99777833
123	16.54595504
124	16.37877086
125	15.97669831
126	15.8199
127	15.64951193
128	15.48627276
129	15.08219257
130	14.92927436
131	14.78687687
132	14.43344953
133	14.29448243
134	13.94097041
135	13.47253258
136	13.18131456
137	12.76046605
138	12.36152317
139	12.07464786
140	11.91947685
141	11.80539305
142	11.68686907
143	11.57436336
144	11.20235526
145	11.08229925
146	10.96319226
147	10.84399261
148	10.45760342
149	10.33401082
150	9.989216986
151	9.885350581
152	9.575067867
153	9.49080107
154	9.393796446
155	9.090570099
156	9.000954017
157	8.759812322
158	8.678747164
159	8.42375426
160	8.342097926
161	8.044529319
162	7.921223647
163	7.842350659
164	7.57366737
165	7.320818467
166	7.21253199
167	7.143259617
168	6.968367218
169	6.755548069
170	6.694053895
171	6.498336054
172	6.340482351
173	6.185131678
174	6.041637368
175	5.899129964
176	5.810429326
177	5.766395551
178	5.597316854
179	5.435758293
180	5.318809596
181	5.285443576
182	5.231061735
183	5.074192287
184	4.957868835
185	4.824279366
186	4.750244662
187	4.625213081
188	4.596035885
189	4.537759913
190	4.470591438
191	4.400104055
192	4.373310381
193	4.273796516
194	4.219284405
195	4.133254363
196	4.07020892
197	3.96445903
198	3.8903167
199	3.867699647
